Olivier Giroud
Rade Krunic
Sandro Tonali
Theo Hernández
Tommaso Pobega
Zlatan Ibrahimovic
Alexis Saelemaekers
Antonio Mirante
Charles De Ketelaere
Davide Calabria
Fikayo Tomori
Ismaël Bennacer
Marko Lazetic
Mike Maignan
Pierre Kalulu
Rafael Leão
Simon Kiaer
Tiemoué Bakayoko
Yacine Adli
Alessandro Tuia
Antonino Gallo
Catalin Vulturar
Eetu Mömmö
Federico Brancolini
Gabriel Strefezza
Jasper Samooja
loel Voelkerling
Persson
Kastriot Dermaku
Kristoffer Askildsen
Lorenzo Colombo
Marco Bleve
Mats Lemmens
Medon Berisha
Pablo Rodríguez
Thórir Helgason
Wladimiro Falcone
Alexis Blin
Assan Ceesay
Daniel Samek
Fede Baschirotto
Fede Di Francesco
Gianluca Frabotta
Joan Gonzàlez
John Björkengren
Kristijan Bistrovic
Lameck Banda
Marcin Listkowski
Mathias Normann
Mattia Ciucci
Morten Hjulmand
Rob Nizet
Valentin Gendrey
Yildirim Cetin
Adam Marusic
Alessio Romagnoli
Danilo Cataldi
Djavan Anderson
Felipe Anderson
Ivan Provedel
Luis Alberto
Luís Maximiano
Marco Bertini
Mario Gila
Matteo Cancellieri
Matías Vecino
Nicolò Casale
Pedro
Riza Durmisi
Sofian Kiyine
Toma Basic
Alessio Furlanetto
Ciro Immobile
D. Kamenovic
Elseid Hysa
Francesco Acerbi
Jean-Daniel Akpa
Akpro
Luka Romero
Manuel Lazzari
Marcos Antônio
Marius Adamonis
Mattia Zaccagni
Mohamed Fares
Patric
Raúl Moro
Milinkovic-Savic
Stefan Radu
Adrien Rabiot
Arthur
Carlo Pinsoglio
Daniele Rugani
Denis Zakaria
Fabio Miretti
Federico Gatti
Giovanni Gabriele
Garofani
Kaio Jorge
Manuel Locatelli
Marley Aké
Mattia Perin
Moise Kean
Nicolò Rovella
Weston Mckennie
Ángel Di María
Alex Sandro
Bremer
Cosimo Marco Da
Graca
Danilo
Dusan Vlahovic
Federico Chiesa
Filip Kostic
Juan Cuadrado
Conor McGregor
Leonardo Bonucci
Marko Piaca
Mattia De Sciglio
Matias Soulé
Nicolò Fagioli
Paul Pogba
Woiciech Szczesny
Alessandro Bastoni
Alex Cordaz
Cesare Casadei
Danilo D'ambrosio
Eddie Salcedo
Federico Dimarco
Hakan Calhanoglu
Joaquín Correa
Lautaro Martínez
Marcelo Brozovic
Mattia Zanotti
Nicolò Barella
Roberto Gagliardini
Romelu Lukaku
Stefan De Vrij
Alessandro
Fontanarosa
André Onana
Dalbert
Denzel Dumfries
Edin Dzeko
Gabriel Brazão
